acc,ClusterID,clustid_key,proteinname,genename,geneid
P45954,183,183_P45954,"""Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial""",ACADSB,36
P23743,184,184_P23743,Diacylglycerol kinase alpha,DGKA,1606
P28482,184,184_P28482,Mitogen-activated protein kinase 1,MAPK1,5594
Q04637,184,184_Q04637,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1,1981
P23246,185,185_P23246,"""Splicing factor, proline- and glutamine-rich""",SFPQ,6421
Q15233,185,185_Q15233,Non-POU domain-containing octamer-binding protein,NONO,4841
Q9Y5A9,185,185_Q9Y5A9,YTH domain-containing family protein 2,YTHDF2,51441
O95817,186,186_O95817,BAG family molecular chaperone regulator 3,BAG3,9531
P22234,186,186_P22234,Multifunctional protein ADE2,PAICS,10606
Q86X55,186,186_Q86X55,Histone-arginine methyltransferase CARM1,CARM1,10498
P22102,187,187_P22102,Trifunctional purine biosynthetic protein adenosine-3,GART,2618
P43246,187,187_P43246,DNA mismatch repair protein Msh2,MSH2,4436
Q8IUI8,187,187_Q8IUI8,Cytokine receptor-like factor 3,CRLF3,51379
P22033,188,188_P22033,"""Methylmalonyl-CoA mutase, mitochondrial""",MUT,4594
P49588,188,188_P49588,"""Alanine--tRNA ligase, cytoplasmic""",AARS,16
Q14157,188,188_Q14157,Ubiquitin-associated protein 2-like,UBAP2L,9898
P21281,189,189_P21281,"""V-type proton ATPase subunit B, brain isoform""",ATP6V1B2,526
P36543,189,189_P36543,V-type proton ATPase subunit E 1,ATP6V1E1,529
P38606,189,189_P38606,V-type proton ATPase catalytic subunit A,ATP6V1A,523
Q8N6H7,19,19_Q8N6H7,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,84364
Q96HY7,19,19_Q96HY7,"""Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial""",DHTKD1,55526
Q9HBI0,19,19_Q9HBI0,Gamma-parvin,PARVG,64098
Q9NP79,19,19_Q9NP79,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,51534
Q9NQG5,19,19_Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B,RPRD1B,58490
Q9UEW8,19,19_Q9UEW8,STE20/SPS1-related proline-alanine-rich protein kinase,STK39,27347
O95081,190,190_O95081,Arf-GAP domain and FG repeat-containing protein 2,AGFG2,3268
P19367,190,190_P19367,Hexokinase-1,HK1,3098
Q13177,190,190_Q13177,Serine/threonine-protein kinase PAK 2,PAK2,5062
P15927,191,191_P15927,Replication protein A 32 kDa subunit,RPA2,6118
P27694,191,191_P27694,Replication protein A 70 kDa DNA-binding subunit,RPA1,6117
P35244,191,191_P35244,Replication protein A 14 kDa subunit,RPA3,6119
P14222,192,192_P14222,Perforin-1,PRF1,5551
P46199,192,192_P46199,"""Translation initiation factor IF-2, mitochondrial""",MTIF2,4528
Q6UX04,192,192_Q6UX04,Peptidyl-prolyl cis-trans isomerase CWC27 homolog,CWC27,10283
P12956,193,193_P12956,X-ray repair cross-complementing protein 6,XRCC6,2547
P13010,193,193_P13010,X-ray repair cross-complementing protein 5,XRCC5,7520
P78527,193,193_P78527,DNA-dependent protein kinase catalytic subunit,PRKDC,5591
P01040,194,194_P01040,Cystatin-A,CSTA,1475
P12273,194,194_P12273,Prolactin-inducible protein,PIP,5304
P25311,194,194_P25311,Zinc-alpha-2-glycoprotein,AZGP1,563
P12268,195,195_P12268,Inosine-5'-monophosphate dehydrogenase 2,IMPDH2,3615
P61289,195,195_P61289,Proteasome activator complex subunit 3,PSME3,10197
Q14697,195,195_Q14697,Neutral alpha-glucosidase AB,GANAB,23193
P11413,196,196_P11413,Glucose-6-phosphate 1-dehydrogenase,G6PD,2539
P14324,196,196_P14324,Farnesyl pyrophosphate synthase,FDPS,2224
Q96RS6,196,196_Q96RS6,NudC domain-containing protein 1,NUDCD1,84955
P09467,197,197_P09467,"""Fructose-1,6-bisphosphatase 1""",FBP1,2203
P43034,197,197_P43034,Platelet-activating factor acetylhydrolase IB subunit alpha,PAFAH1B1,5048
Q6PI48,197,197_Q6PI48,"""Aspartate--tRNA ligase, mitochondrial""",DARS2,55157
P07437,198,198_P07437,Tubulin beta chain,TUBB,203068
P68366,198,198_P68366,Tubulin alpha-4A chain,TUBA4A,7277
P68371,198,198_P68371,Tubulin beta-4B chain,TUBB4B,10383
P06127,199,199_P06127,T-cell surface glycoprotein CD5,CD5,921
P16150,199,199_P16150,Leukosialin,SPN,6693
P43489,199,199_P43489,Tumor necrosis factor receptor superfamily member 4,TNFRSF4,7293
O00303,2,2_O00303,Eukaryotic translation initiation factor 3 subunit F,EIF3F,8665
O15371,2,2_O15371,Eukaryotic translation initiation factor 3 subunit D,EIF3D,8664
O15372,2,2_O15372,Eukaryotic translation initiation factor 3 subunit H,EIF3H,8667
O75821,2,2_O75821,Eukaryotic translation initiation factor 3 subunit G,EIF3G,8666
P55884,2,2_P55884,Eukaryotic translation initiation factor 3 subunit B,EIF3B,8662
P60228,2,2_P60228,Eukaryotic translation initiation factor 3 subunit E,EIF3E,3646
Q13347,2,2_Q13347,Eukaryotic translation initiation factor 3 subunit I,EIF3I,8668
Q14152,2,2_Q14152,Eukaryotic translation initiation factor 3 subunit A,EIF3A,8661
Q7L2H7,2,2_Q7L2H7,Eukaryotic translation initiation factor 3 subunit M,EIF3M,10480
Q99613,2,2_Q99613,Eukaryotic translation initiation factor 3 subunit C,EIF3C,8663
Q9HC35,2,2_Q9HC35,Echinoderm microtubule-associated protein-like 4,EML4,27436
Q9UBQ5,2,2_Q9UBQ5,Eukaryotic translation initiation factor 3 subunit K,EIF3K,27335
Q9Y262,2,2_Q9Y262,Eukaryotic translation initiation factor 3 subunit L,EIF3L,51386
P16435,20,20_P16435,NADPH--cytochrome P450 reductase,POR,5447
Q14573,20,20_Q14573,"""Inositol 1,4,5-trisphosphate receptor type 3""",ITPR3,3710
Q8TDW0,20,20_Q8TDW0,Volume-regulated anion channel subunit LRRC8C,LRRC8C,84230
Q96CS3,20,20_Q96CS3,FAS-associated factor 2,FAF2,23197
Q96F15,20,20_Q96F15,GTPase IMAP family member 5,GIMAP5,55340
Q9UGP8,20,20_Q9UGP8,Translocation protein SEC63 homolog,SEC63,11231
P05109,200,200_P05109,Protein S100-A8,S100A8,6279
P06702,200,200_P06702,Protein S100-A9,S100A9,6280
P31151,200,200_P31151,Protein S100-A7,S100A7,6278
P04818,201,201_P04818,Thymidylate synthase,TYMS,7298
P29401,201,201_P29401,Transketolase,TKT,7086
Q8WVM8,201,201_Q8WVM8,Sec1 family domain-containing protein 1,SCFD1,23256
P01036,202,202_P01036,Cystatin-S,CST4,1472
P01037,202,202_P01037,Cystatin-SN,CST1,1469
P02814,202,202_P02814,Submaxillary gland androgen-regulated protein 3B,SMR3B,10879
P02671,203,203_P02671,Fibrinogen alpha chain,FGA,2243
P02675,203,203_P02675,Fibrinogen beta chain,FGB,2244
P02679,203,203_P02679,Fibrinogen gamma chain,FGG,2266
P01764,204,204_P01764,Ig heavy chain V-III region VH26,IGKV3-23,
P01857,204,204_P01857,Ig gamma-1 chain C region,IGHG1,
P04433,204,204_P04433,Ig kappa chain V-III region VG (Fragment),IGKV3-11,
P01730,205,205_P01730,T-cell surface glycoprotein CD4,CD4,920
P46977,205,205_P46977,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,STT3A,3703
Q8TCT9,205,205_Q8TCT9,Minor histocompatibility antigen H13,HM13,81502
O14980,206,206_O14980,Exportin-1,XPO1,7514
O95466,206,206_O95466,Formin-like protein 1,FMNL1,752
Q00610,206,206_Q00610,Clathrin heavy chain 1,CLTC,1213
O94973,207,207_O94973,AP-2 complex subunit alpha-2,AP2A2,161
P08237,207,207_P08237,"""ATP-dependent 6-phosphofructokinase, muscle type""",PFKM,5213
Q96CW1,207,207_Q96CW1,AP-2 complex subunit mu,AP2M1,1173
O75937,208,208_O75937,DnaJ homolog subfamily C member 8,DNAJC8,22826
P53582,208,208_P53582,Methionine aminopeptidase 1,METAP1,23173
P82979,208,208_P82979,SAP domain-containing ribonucleoprotein,SARNP,84324
O75915,209,209_O75915,PRA1 family protein 3,ARL6IP5,10550
P04234,209,209_P04234,T-cell surface glycoprotein CD3 delta chain,CD3D,915
Q9H1E5,209,209_Q9H1E5,Thioredoxin-related transmembrane protein 4,TMX4,56255
P27487,21,21_P27487,Dipeptidyl peptidase 4,DPP4,1803
P49755,21,21_P49755,Transmembrane emp24 domain-containing protein 10,TMED10,10972
P61106,21,21_P61106,Ras-related protein Rab-14,RAB14,51552
Q7Z2K6,21,21_Q7Z2K6,Endoplasmic reticulum metallopeptidase 1,ERMP1,79956
Q9BVK6,21,21_Q9BVK6,Transmembrane emp24 domain-containing protein 9,TMED9,54732
Q9H0U3,21,21_Q9H0U3,Magnesium transporter protein 1,MAGT1,84061
O75390,210,210_O75390,"""Citrate synthase, mitochondrial""",CS,1431
Q12931,210,210_Q12931,"""Heat shock protein 75 kDa, mitochondrial""",TRAP1,10131
Q9Y2Z0,210,210_Q9Y2Z0,Suppressor of G2 allele of SKP1 homolog,SUGT1,10910
O75251,211,211_O75251,"""NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial""",NDUFS7,374291
O75306,211,211_O75306,"""NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial""",NDUFS2,4720
Q16795,211,211_Q16795,"""NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial""",NDUFA9,4704
O60841,212,212_O60841,Eukaryotic translation initiation factor 5B,EIF5B,9669
P10144,212,212_P10144,Granzyme B,GZMB,3002
Q96SB4,212,212_Q96SB4,SRSF protein kinase 1,SRPK1,6732
O60488,213,213_O60488,Long-chain-fatty-acid--CoA ligase 4,ACSL4,2182
Q3YEC7,213,213_Q3YEC7,Rab-like protein 6,RABL6,55684
Q92974,213,213_Q92974,Rho guanine nucleotide exchange factor 2,ARHGEF2,9181
O43815,214,214_O43815,Striatin,STRN,6801
P29590,214,214_P29590,Protein PML,PML,5371
Q9UQE7,214,214_Q9UQE7,Structural maintenance of chromosomes protein 3,SMC3,9126
O43670,215,215_O43670,BUB3-interacting and GLEBS motif-containing protein ZNF207,ZNF207,7756
O43684,215,215_O43684,Mitotic checkpoint protein BUB3,BUB3,9184
Q8NC51,215,215_Q8NC51,Plasminogen activator inhibitor 1 RNA-binding protein,SERBP1,26135
O43172,216,216_O43172,U4/U6 small nuclear ribonucleoprotein Prp4,PRPF4,9128
O43395,216,216_O43395,U4/U6 small nuclear ribonucleoprotein Prp3,PRPF3,9129
Q9BQ39,216,216_Q9BQ39,ATP-dependent RNA helicase DDX50,DDX50,79009
O15355,217,217_O15355,Protein phosphatase 1G,PPM1G,5496
Q13077,217,217_Q13077,TNF receptor-associated factor 1,TRAF1,7185
Q15631,217,217_Q15631,Translin,TSN,7247
O15118,218,218_O15118,Niemann-Pick C1 protein,NPC1,4864
P49257,218,218_P49257,Protein ERGIC-53,LMAN1,3998
P53985,218,218_P53985,Monocarboxylate transporter 1,SLC16A1,6566
O14929,219,219_O14929,Histone acetyltransferase type B catalytic subunit,HAT1,8520
Q9H223,219,219_Q9H223,EH domain-containing protein 4,EHD4,30844
Q9UBB4,219,219_Q9UBB4,Ataxin-10,ATXN10,25814
P53041,22,22_P53041,Serine/threonine-protein phosphatase 5,PPP5C,5536
Q4G176,22,22_Q4G176,"""Acyl-CoA synthetase family member 3, mitochondrial""",ACSF3,197322
Q69YN2,22,22_Q69YN2,CWF19-like protein 1,CWF19L1,55280
Q92506,22,22_Q92506,Estradiol 17-beta-dehydrogenase 8,HSD17B8,7923
Q9H444,22,22_Q9H444,Charged multivesicular body protein 4b,CHMP4B,128866
Q9NZ63,22,22_Q9NZ63,Uncharacterized protein C9orf78,C9orf78,51759
O14745,220,220_O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,SLC9A3R1,9368
P08133,220,220_P08133,Annexin A6,ANXA6,309
P51812,220,220_P51812,Ribosomal protein S6 kinase alpha-3,RPS6KA3,6197
O00203,221,221_O00203,AP-3 complex subunit beta-1,AP3B1,8546
O14617,221,221_O14617,AP-3 complex subunit delta-1,AP3D1,8943
Q9Y5B9,221,221_Q9Y5B9,FACT complex subunit SPT16,SUPT16H,11198
O00160,222,222_O00160,Unconventional myosin-If,MYO1F,4542
Q8N6N3,222,222_Q8N6N3,UPF0690 protein C1orf52,C1orf52,148423
Q8WYA6,222,222_Q8WYA6,Beta-catenin-like protein 1,CTNNBL1,56259
A0FGR8,223,223_A0FGR8,Extended synaptotagmin-2,ESYT2,57488
O75844,223,223_O75844,CAAX prenyl protease 1 homolog,ZMPSTE24,10269
P18031,223,223_P18031,Tyrosine-protein phosphatase non-receptor type 1,PTPN1,5770
Q9P2R7,224,224_Q9P2R7,"""Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial""",SUCLA2,8803
Q9Y6W3,224,224_Q9Y6W3,Calpain-7,CAPN7,23473
P20061,225,225_P20061,Transcobalamin-1,TCN1,6947
Q9Y6R7,225,225_Q9Y6R7,IgGFc-binding protein,FCGBP,8857
Q8NCN5,226,226_Q8NCN5,"""Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial""",PDPR,55066
Q9Y606,226,226_Q9Y606,"""tRNA pseudouridine synthase A, mitochondrial""",PUS1,80324
O75643,227,227_O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase,SNRNP200,23020
Q9Y5U2,227,227_Q9Y5U2,Protein TSSC4,TSSC4,10078
Q9BVL2,228,228_Q9BVL2,Nucleoporin p58/p45,NUPL1,9818
Q9Y5P6,228,228_Q9Y5P6,Mannose-1-phosphate guanyltransferase beta,GMPPB,29925
Q96B97,229,229_Q96B97,SH3 domain-containing kinase-binding protein 1,SH3KBP1,30011
Q9Y5K6,229,229_Q9Y5K6,CD2-associated protein,CD2AP,23607
P20339,23,23_P20339,Ras-related protein Rab-5A,RAB5A,5868
P30519,23,23_P30519,Heme oxygenase 2,HMOX2,3163
P51159,23,23_P51159,Ras-related protein Rab-27A,RAB27A,5873
Q9BZF1,23,23_Q9BZF1,Oxysterol-binding protein-related protein 8,OSBPL8,114882
Q9HBH5,23,23_Q9HBH5,Retinol dehydrogenase 14,RDH14,57665
Q9Y4W2,23,23_Q9Y4W2,Ribosomal biogenesis protein LAS1L,LAS1L,81887
Q9Y333,230,230_Q9Y333,U6 snRNA-associated Sm-like protein LSm2,LSM2,57819
Q9Y4Z0,230,230_Q9Y4Z0,U6 snRNA-associated Sm-like protein LSm4,LSM4,25804
P49411,231,231_P49411,"""Elongation factor Tu, mitochondrial""",TUFM,7284
Q9Y3Z3,231,231_Q9Y3Z3,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,SAMHD1,25939
P62899,232,232_P62899,60S ribosomal protein L31,RPL31,6160
Q9Y3C1,232,232_Q9Y3C1,Nucleolar protein 16,NOP16,51491
O95232,233,233_O95232,Luc7-like protein 3,LUC7L3,51747
Q9Y383,233,233_Q9Y383,Putative RNA-binding protein Luc7-like 2,LUC7L2,51631
Q9NUQ9,234,234_Q9NUQ9,Protein FAM49B,FAM49B,51571
Q9Y2V2,234,234_Q9Y2V2,Calcium-regulated heat stable protein 1,CARHSP1,23589
O15533,235,235_O15533,Tapasin,TAPBP,6892
Q9Y228,235,235_Q9Y228,TRAF3-interacting JNK-activating modulator,TRAF3IP3,80342
Q9UKV3,236,236_Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,22985
Q9UQ35,236,236_Q9UQ35,Serine/arginine repetitive matrix protein 2,SRRM2,23524
P62280,237,237_P62280,40S ribosomal protein S11,RPS11,6205
Q9UNQ2,237,237_Q9UNQ2,Probable dimethyladenosine transferase,DIMT1,27292
Q969S9,238,238_Q969S9,"""Ribosome-releasing factor 2, mitochondrial""",GFM2,84340
Q9UJ70,238,238_Q9UJ70,N-acetyl-D-glucosamine kinase,NAGK,55577
Q9BWM7,239,239_Q9BWM7,Sideroflexin-3,SFXN3,81855
Q9UHQ9,239,239_Q9UHQ9,NADH-cytochrome b5 reductase 1,CYB5R1,51706
P33991,24,24_P33991,DNA replication licensing factor MCM4,MCM4,4173
P33993,24,24_P33993,DNA replication licensing factor MCM7,MCM7,4176
P49736,24,24_P49736,DNA replication licensing factor MCM2,MCM2,4171
Q14566,24,24_Q14566,DNA replication licensing factor MCM6,MCM6,4175
Q92905,24,24_Q92905,COP9 signalosome complex subunit 5,COPS5,10987
Q99873,24,24_Q99873,Protein arginine N-methyltransferase 1,PRMT1,3276
Q8TDN6,240,240_Q8TDN6,Ribosome biogenesis protein BRX1 homolog,BRIX1,55299
Q9UHA3,240,240_Q9UHA3,Probable ribosome biogenesis protein RLP24,RSL24D1,51187
P49792,241,241_P49792,E3 SUMO-protein ligase RanBP2,RANBP2,5903
Q9UH99,241,241_Q9UH99,SUN domain-containing protein 2,SUN2,25777
P39019,242,242_P39019,40S ribosomal protein S19,RPS19,6223
Q9UER7,242,242_Q9UER7,Death domain-associated protein 6,DAXX,1616
P98175,243,243_P98175,RNA-binding protein 10,RBM10,8241
Q9UEE9,243,243_Q9UEE9,Craniofacial development protein 1,CFDP1,10428
Q92619,244,244_Q92619,Minor histocompatibility protein HA-1,ARHGAP45,23526
Q9UBW5,244,244_Q9UBW5,Bridging integrator 2,BIN2,51411
O14579,245,245_O14579,Coatomer subunit epsilon,COPE,11316
Q9UBF2,245,245_Q9UBF2,Coatomer subunit gamma-2,COPG2,26958
Q9UBC9,246,246_Q9UBC9,Small proline-rich protein 3,SPRR3,6707
Q9UBG3,246,246_Q9UBG3,Cornulin,CRNN,49860
Q96MW1,247,247_Q96MW1,Coiled-coil domain-containing protein 43,CCDC43,124808
Q9P287,247,247_Q9P287,BRCA2 and CDKN1A-interacting protein,BCCIP,56647
Q9BPX5,248,248_Q9BPX5,Actin-related protein 2/3 complex subunit 5-like protein,ARPC5L,81873
Q9P1U1,248,248_Q9P1U1,Actin-related protein 3B,ACTR3B,57180
Q8NFU3,249,249_Q8NFU3,Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1,TSTD1,100131187
Q9P1F3,249,249_Q9P1F3,Costars family protein ABRACL,ABRACL,58527
O00329,25,25_O00329,"""Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform""",PIK3CD,5293
P27986,25,25_P27986,Phosphatidylinositol 3-kinase regulatory subunit alpha,PIK3R1,5295
P51692,25,25_P51692,Signal transducer and activator of transcription 5B,STAT5B,6777
Q08J23,25,25_Q08J23,tRNA (cytosine(34)-C(5))-methyltransferase,NSUN2,54888
Q8TEX9,25,25_Q8TEX9,Importin-4,IPO4,79711
Q9BXJ9,25,25_Q9BXJ9,"""N-alpha-acetyltransferase 15, NatA auxiliary subunit""",NAA15,80155
P31153,250,250_P31153,S-adenosylmethionine synthase isoform type-2,MAT2A,4144
Q9NZL9,250,250_Q9NZL9,Methionine adenosyltransferase 2 subunit beta,MAT2B,27430
O15173,251,251_O15173,Membrane-associated progesterone receptor component 2,PGRMC2,10424
Q9NZ45,251,251_Q9NZ45,CDGSH iron-sulfur domain-containing protein 1,CISD1,55847
Q9NXF1,252,252_Q9NXF1,Testis-expressed sequence 10 protein,TEX10,54881
Q9NYP7,252,252_Q9NYP7,Elongation of very long chain fatty acids protein 5,ELOVL5,60481
Q16881,253,253_Q16881,"""Thioredoxin reductase 1, cytoplasmic""",TXNRD1,7296
Q9NY33,253,253_Q9NY33,Dipeptidyl peptidase 3,DPP3,10072
Q9NWV4,254,254_Q9NWV4,UPF0587 protein C1orf123,C1orf123,54987
Q9P0J1,254,254_Q9P0J1,"""[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial""",PDP1,54704
Q9GZR7,255,255_Q9GZR7,ATP-dependent RNA helicase DDX24,DDX24,57062
Q9NVP1,255,255_Q9NVP1,ATP-dependent RNA helicase DDX18,DDX18,8886
Q9H2K8,256,256_Q9H2K8,Serine/threonine-protein kinase TAO3,TAOK3,51347
Q9NVE7,256,256_Q9NVE7,Pantothenate kinase 4,PANK4,55229
P36915,257,257_P36915,Guanine nucleotide-binding protein-like 1,GNL1,2794
Q9NT62,257,257_Q9NT62,Ubiquitin-like-conjugating enzyme ATG3,ATG3,64422
P50570,258,258_P50570,Dynamin-2,DNM2,1785
Q9NSD9,258,258_Q9NSD9,Phenylalanine--tRNA ligase beta subunit,FARSB,10056
Q8TCS8,259,259_Q8TCS8,"""Polyribonucleotide nucleotidyltransferase 1, mitochondrial""",PNPT1,87178
Q9NQ48,259,259_Q9NQ48,Leucine zipper transcription factor-like protein 1,LZTFL1,54585
O15117,26,26_O15117,FYN-binding protein,FYB,2533
P98171,26,26_P98171,Rho GTPase-activating protein 4,ARHGAP4,393
Q86WV1,26,26_Q86WV1,Src kinase-associated phosphoprotein 1,SKAP1,8631
Q92619,26,26_Q92619,Minor histocompatibility protein HA-1,ARHGAP45,23526
Q96RU3,26,26_Q96RU3,Formin-binding protein 1,FNBP1,23048
Q9UBW5,26,26_Q9UBW5,Bridging integrator 2,BIN2,51411
Q8WVV4,260,260_Q8WVV4,Protein POF1B,POF1B,79983
Q9HCY8,260,260_Q9HCY8,Protein S100-A14,S100A14,57402
Q9BV20,261,261_Q9BV20,Methylthioribose-1-phosphate isomerase,MRI1,84245
Q9HCN8,261,261_Q9HCN8,Stromal cell-derived factor 2-like protein 1,SDF2L1,23753
P20339,262,262_P20339,Ras-related protein Rab-5A,RAB5A,5868
Q9HBH5,262,262_Q9HBH5,Retinol dehydrogenase 14,RDH14,57665
O43148,263,263_O43148,mRNA cap guanine-N7 methyltransferase,RNMT,8731
Q9HB71,263,263_Q9HB71,Calcyclin-binding protein,CACYBP,27101
O95602,264,264_O95602,DNA-directed RNA polymerase I subunit RPA1,POLR1A,25885
Q9H9Y6,264,264_Q9H9Y6,DNA-directed RNA polymerase I subunit RPA2,POLR1B,84172
Q8WVY7,265,265_Q8WVY7,Ubiquitin-like domain-containing CTD phosphatase 1,UBLCP1,134510
Q9H910,265,265_Q9H910,Hematological and neurological expressed 1-like protein,HN1L,90861
O43586,266,266_O43586,Proline-serine-threonine phosphatase-interacting protein 1,PSTPIP1,9051
Q9H6Z4,266,266_Q9H6Z4,Ran-binding protein 3,RANBP3,8498
P31150,267,267_P31150,Rab GDP dissociation inhibitor alpha,GDI1,2664
Q9H4M9,267,267_Q9H4M9,EH domain-containing protein 1,EHD1,10938
P53041,268,268_P53041,Serine/threonine-protein phosphatase 5,PPP5C,5536
Q9H444,268,268_Q9H444,Charged multivesicular body protein 4b,CHMP4B,128866
P50213,269,269_P50213,"""Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial""",IDH3A,3419
Q9H1B7,269,269_Q9H1B7,Interferon regulatory factor 2-binding protein-like,IRF2BPL,64207
O95822,27,27_O95822,"""Malonyl-CoA decarboxylase, mitochondrial""",MLYCD,23417
P30566,27,27_P30566,Adenylosuccinate lyase,ADSL,158
Q01826,27,27_Q01826,DNA-binding protein SATB1,SATB1,6304
Q06323,27,27_Q06323,Proteasome activator complex subunit 1,PSME1,5720
Q9UL46,27,27_Q9UL46,Proteasome activator complex subunit 2,PSME2,5721
Q9BVP2,270,270_Q9BVP2,Guanine nucleotide-binding protein-like 3,GNL3,26354
Q9H0A0,270,270_Q9H0A0,N-acetyltransferase 10,NAT10,55226
Q8WVY7,271,271_Q8WVY7,Ubiquitin-like domain-containing CTD phosphatase 1,UBLCP1,134510
Q9H008,271,271_Q9H008,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,LHPP,64077
Q08752,272,272_Q08752,Peptidyl-prolyl cis-trans isomerase D,PPID,5481
Q9H008,272,272_Q9H008,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,LHPP,64077
O75131,273,273_O75131,Copine-3,CPNE3,8895
Q9GZP4,273,273_Q9GZP4,PITH domain-containing protein 1,PITHD1,57095
Q9BYD6,274,274_Q9BYD6,"""39S ribosomal protein L1, mitochondrial""",MRPL1,65008
Q9BZE1,274,274_Q9BZE1,"""39S ribosomal protein L37, mitochondrial""",MRPL37,51253
Q9BVJ7,275,275_Q9BVJ7,Dual specificity protein phosphatase 23,DUSP23,54935
Q9UMY4,275,275_Q9UMY4,Sorting nexin-12,SNX12,29934
Q9BTT0,276,276_Q9BTT0,Acidic leucine-rich nuclear phosphoprotein 32 family member E,ANP32E,81611
Q9NXV2,276,276_Q9NXV2,BTB/POZ domain-containing protein KCTD5,KCTD5,54442
Q9BRJ6,277,277_Q9BRJ6,Uncharacterized protein C7orf50,C7orf50,84310
Q9NWT1,277,277_Q9NWT1,p21-activated protein kinase-interacting protein 1,PAK1IP1,55003
O95347,278,278_O95347,Structural maintenance of chromosomes protein 2,SMC2,10592
Q9BPX3,278,278_Q9BPX3,Condensin complex subunit 3,NCAPG,64151
Q15181,279,279_Q15181,Inorganic pyrophosphatase,PPA1,5464
Q99829,279,279_Q99829,Copine-1,CPNE1,8904
Q9BZE4,28,28_Q9BZE4,Nucleolar GTP-binding protein 1,GTPBP4,23560
Q9NVP1,28,28_Q9NVP1,ATP-dependent RNA helicase DDX18,DDX18,8886
Q9NX58,28,28_Q9NX58,Cell growth-regulating nucleolar protein,LYAR,55646
Q9UMS4,28,28_Q9UMS4,Pre-mRNA-processing factor 19,PRPF19,27339
Q9Y2X3,28,28_Q9Y2X3,Nucleolar protein 58,NOP58,51602
P55209,280,280_P55209,Nucleosome assembly protein 1-like 1,NAP1L1,4673
Q99733,280,280_Q99733,Nucleosome assembly protein 1-like 4,NAP1L4,4676
P35658,281,281_P35658,Nuclear pore complex protein Nup214,NUP214,8021
Q99567,281,281_Q99567,Nuclear pore complex protein Nup88,NUP88,4927
Q96L92,282,282_Q96L92,Sorting nexin-27,SNX27,81609
Q9UMR2,282,282_Q9UMR2,ATP-dependent RNA helicase DDX19B,DDX19B,11269
Q96IR7,283,283_Q96IR7,4-hydroxyphenylpyruvate dioxygenase-like protein,HPDL,84842
Q9H299,283,283_Q9H299,SH3 domain-binding glutamic acid-rich-like protein 3,SH3BGRL3,83442
Q02790,284,284_Q02790,Peptidyl-prolyl cis-trans isomerase FKBP4,FKBP4,2288
Q96I25,284,284_Q96I25,Splicing factor 45,RBM17,84991
O00170,285,285_O00170,AH receptor-interacting protein,AIP,9049
Q96I24,285,285_Q96I24,Far upstream element-binding protein 3,FUBP3,8939
P52594,286,286_P52594,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,3267
Q96I15,286,286_Q96I15,Selenocysteine lyase,SCLY,51540
O60884,287,287_O60884,DnaJ homolog subfamily A member 2,DNAJA2,10294
Q96HR8,287,287_Q96HR8,H/ACA ribonucleoprotein complex non-core subunit NAF1,NAF1,92345
P41227,288,288_P41227,N-alpha-acetyltransferase 10,NAA10,8260
Q96G46,288,288_Q96G46,tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like,DUS3L,56931
Q96G23,289,289_Q96G23,Ceramide synthase 2,CERS2,29956
Q9NTJ5,289,289_Q9NTJ5,Phosphatidylinositide phosphatase SAC1,SACM1L,22908
O75400,29,29_O75400,Pre-mRNA-processing factor 40 homolog A,PRPF40A,55660
P49756,29,29_P49756,RNA-binding protein 25,RBM25,58517
Q6UN15,29,29_Q6UN15,Pre-mRNA 3'-end-processing factor FIP1,FIP1L1,81608
Q8IYB3,29,29_Q8IYB3,Serine/arginine repetitive matrix protein 1,SRRM1,10250
Q9BUQ8,29,29_Q9BUQ8,Probable ATP-dependent RNA helicase DDX23,DDX23,9416
P18669,290,290_P18669,Phosphoglycerate mutase 1,PGAM1,5223
Q96G03,290,290_Q96G03,Phosphoglucomutase-2,PGM2,55276
