acc,clustid,clustid_key,genename,key,proteinname,uniprot_link
Q9HAZ2,474,474_63976,PRDM16,63976,"PR domain zinc finger protein 16 (PR domain-containing protein 16) (Transcription factor MEL1) (MDS1/EVI1-like gene 1)
",http://www.uniprot.org/uniprot/Q9HAZ2
Q96GV9,474,474_90355,C5orf30,90355,"UNC119-binding protein C5orf30
",http://www.uniprot.org/uniprot/Q96GV9
Q03112,474,474_2122,MECOM,2122,"MDS1 and EVI1 complex locus protein EVI1 (Ecotropic virus integration site 1 protein homolog) (EVI-1)
",http://www.uniprot.org/uniprot/Q03112
O95238,474,474_25803,SPDEF,25803,"SAM pointed domain-containing Ets transcription factor (Prostate epithelium-specific Ets transcription factor) (Prostate-specific Ets) (Prostate-derived Ets factor)
",http://www.uniprot.org/uniprot/O95238
Q9BTV4,475,475_79188,TMEM43,79188,"Transmembrane protein 43 (Protein LUMA)
",http://www.uniprot.org/uniprot/Q9BTV4
P48651,475,475_9791,PTDSS1,9791,"Phosphatidylserine synthase 1 (PSS-1) (PtdSer synthase 1) (EC 2.7.8.29) (Serine-exchange enzyme I)
",http://www.uniprot.org/uniprot/P48651
P28288,475,475_5825,ABCD3,5825,"ATP-binding cassette sub-family D member 3 (70 kDa peroxisomal membrane protein) (PMP70)
",http://www.uniprot.org/uniprot/P28288
Q86UP2,475,475_3895,KTN1,3895,"Kinectin (CG-1 antigen) (Kinesin receptor)
",http://www.uniprot.org/uniprot/Q86UP2
Q7L1Q6,476,476_9689,BZW1,9689,"Basic leucine zipper and W2 domain-containing protein 1 (Protein Orf)
",http://www.uniprot.org/uniprot/Q7L1Q6
Q9Y6E2,476,476_28969,BZW2,28969,"Basic leucine zipper and W2 domain-containing protein 2
",http://www.uniprot.org/uniprot/Q9Y6E2
P39060,477,477_80781,COL18A1,80781,"Collagen alpha-1(XVIII) chain [Cleaved into: Endostatin]
",http://www.uniprot.org/uniprot/P39060
Q24JP5,477,477_54972,TMEM132A,54972,"Transmembrane protein 132A (HSPA5-binding protein 1)
",http://www.uniprot.org/uniprot/Q24JP5
Q7Z7M0,477,477_1954,MEGF8,1954,"Multiple epidermal growth factor-like domains protein 8 (Multiple EGF-like domains protein 8) (Epidermal growth factor-like protein 4) (EGF-like protein 4)
",http://www.uniprot.org/uniprot/Q7Z7M0
Q495W5,477,477_170384,FUT11,170384,"Alpha-(1,3)-fucosyltransferase 11 (EC 2.4.1.-) (Fucosyltransferase XI) (Fuc-TXI) (FucT-XI) (Galactoside 3-L-fucosyltransferase 11) (Fucosyltransferase 11)
",http://www.uniprot.org/uniprot/Q495W5
Q9NYU1,477,477_55757,UGGT2,55757,"UDP-glucose:glycoprotein glucosyltransferase 2 (UGT2) (hUGT2) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase 2) (UDP-glucose ceramide glucosyltransferase-like 1)
",http://www.uniprot.org/uniprot/Q9NYU1
Q8IWF2,477,477_80020,FOXRED2,80020,"FAD-dependent oxidoreductase domain-containing protein 2 (Endoplasmic reticulum flavoprotein associated with degradation)
",http://www.uniprot.org/uniprot/Q8IWF2
,478,478_730211,,730211,,
Q13451,478,478_2289,FKBP5,2289,"Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein) (51 kDa FKBP) (FKBP-51) (54 kDa progesterone receptor-associated immunophilin) (Androgen-regulated protein 6) (FF1 antigen) (FK506-binding protein 5) (FKBP-5) (FKBP54) (p54) (HSP90-binding immunophilin) (Rotamase)
",http://www.uniprot.org/uniprot/Q13451
,478,478_3323,,3323,,
,478,478_391634,,391634,,
Q96Q40,478,478_65061,CDK15,65061,"Cyclin-dependent kinase 15 (EC 2.7.11.22) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein) (Cell division protein kinase 15) (Serine/threonine-protein kinase ALS2CR7) (Serine/threonine-protein kinase PFTAIRE-2)
",http://www.uniprot.org/uniprot/Q96Q40
Q05513,479,479_5590,PRKCZ,5590,"Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta)
",http://www.uniprot.org/uniprot/Q05513
Q16825,479,479_11099,PTPN21,11099,"Tyrosine-protein phosphatase non-receptor type 21 (EC 3.1.3.48) (Protein-tyrosine phosphatase D1)
",http://www.uniprot.org/uniprot/Q16825
Q15678,479,479_5784,PTPN14,5784,"Tyrosine-protein phosphatase non-receptor type 14 (EC 3.1.3.48) (Protein-tyrosine phosphatase pez)
",http://www.uniprot.org/uniprot/Q15678
Q9BYG5,479,479_84612,PARD6B,84612,"Partitioning defective 6 homolog beta (PAR-6 beta) (PAR-6B)
",http://www.uniprot.org/uniprot/Q9BYG5
Q8TEW0,479,479_56288,PARD3,56288,"Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)
",http://www.uniprot.org/uniprot/Q8TEW0
Q15334,479,479_3996,LLGL1,3996,"Lethal(2) giant larvae protein homolog 1 (LLGL) (DLG4) (Hugl-1) (Human homolog to the D-lgl gene protein)
",http://www.uniprot.org/uniprot/Q15334
Q8IX03,479,479_23286,WWC1,23286,"Protein KIBRA (HBeAg-binding protein 3) (Kidney and brain protein) (KIBRA) (WW domain-containing protein 1)
",http://www.uniprot.org/uniprot/Q8IX03
P49757,480,480_8650,NUMB,8650,"Protein numb homolog (h-Numb) (Protein S171)
",http://www.uniprot.org/uniprot/P49757
Q96JQ2,480,480_79789,CLMN,79789,"Calmin (Calponin-like transmembrane domain protein)
",http://www.uniprot.org/uniprot/Q96JQ2
Q96CW1,480,480_1173,AP2M1,1173,"AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein)
",http://www.uniprot.org/uniprot/Q96CW1
Q9H1H9,480,480_63971,KIF13A,63971,"Kinesin-like protein KIF13A (Kinesin-like protein RBKIN)
",http://www.uniprot.org/uniprot/Q9H1H9
Q9BSE2,481,481_84283,TMEM79,84283,"Transmembrane protein 79 (Mattrin)
",http://www.uniprot.org/uniprot/Q9BSE2
O14983,481,481_487,ATP2A1,487,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (SERCA1) (SR Ca(2+)-ATPase 1) (EC 3.6.3.8) (Calcium pump 1) (Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)
",http://www.uniprot.org/uniprot/O14983
Q8N0V5,481,481_2651,GCNT2,2651,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase, isoform A (N-acetylglucosaminyltransferase) (EC 2.4.1.150) (I-branching enzyme) (IGNT)
",http://www.uniprot.org/uniprot/Q8N0V5
O00459,482,482_5296,PIK3R2,5296,"Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta)
",http://www.uniprot.org/uniprot/O00459
Q92569,482,482_8503,PIK3R3,8503,"Phosphatidylinositol 3-kinase regulatory subunit gamma (PI3-kinase regulatory subunit gamma) (PI3K regulatory subunit gamma) (PtdIns-3-kinase regulatory subunit gamma) (Phosphatidylinositol 3-kinase 55 kDa regulatory subunit gamma) (PI3-kinase subunit p55-gamma) (PtdIns-3-kinase regulatory subunit p55-gamma) (p55PIK)
",http://www.uniprot.org/uniprot/Q92569
P42336,482,482_5290,PIK3CA,5290,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)
",http://www.uniprot.org/uniprot/P42336
P35241,483,483_5962,RDX,5962,"Radixin
",http://www.uniprot.org/uniprot/P35241
Q9H0I9,483,483_84076,TKTL2,84076,"Transketolase-like protein 2 (EC 2.2.1.1)
",http://www.uniprot.org/uniprot/Q9H0I9
Q8IVH2,484,484_116113,FOXP4,116113,"Forkhead box protein P4 (Fork head-related protein-like A)
",http://www.uniprot.org/uniprot/Q8IVH2
Q86SQ9,484,484_79947,DHDDS,79947,"Dehydrodolichyl diphosphate syntase complex subunit DHDDS (EC 2.5.1.87) (Cis-isoprenyltransferase) (CIT) (Cis-IPTase) (Epididymis tissue protein Li 189m)
",http://www.uniprot.org/uniprot/Q86SQ9
Q96E22,484,484_116150,NUS1,116150,"Dehydrodolichyl diphosphate syntase complex subunit NUS1 (EC 2.5.1.87) (Di-trans,poly-cis-decaprenylcistransferase) (Nogo-B receptor) (NgBR) (Nuclear undecaprenyl pyrophosphate synthase 1 homolog)
",http://www.uniprot.org/uniprot/Q96E22
Q8WVK7,485,485_348235,SKA2,348235,"Spindle and kinetochore-associated protein 2 (Protein FAM33A)
",http://www.uniprot.org/uniprot/Q8WVK7
Q8IX90,485,485_221150,SKA3,221150,"Spindle and kinetochore-associated protein 3
",http://www.uniprot.org/uniprot/Q8IX90
Q86SE5,485,485_138046,RALYL,138046,"RNA-binding Raly-like protein (hRALYL) (Heterogeneous nuclear ribonucleoprotein C-like 3) (hnRNP core protein C-like 3)
",http://www.uniprot.org/uniprot/Q86SE5
P40222,486,486_200081,TXLNA,200081,"Alpha-taxilin
",http://www.uniprot.org/uniprot/P40222
P49748,486,486_37,ACADVL,37,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)
",http://www.uniprot.org/uniprot/P49748
Q99457,487,487_4675,NAP1L3,4675,"Nucleosome assembly protein 1-like 3
",http://www.uniprot.org/uniprot/Q99457
Q8IZU1,487,487_171482,FAM9A,171482,"Protein FAM9A
",http://www.uniprot.org/uniprot/Q8IZU1
Q9HD26,487,487_57120,GOPC,57120,"Golgi-associated PDZ and coiled-coil motif-containing protein (CFTR-associated ligand) (Fused in glioblastoma) (PDZ protein interacting specifically with TC10) (PIST)
",http://www.uniprot.org/uniprot/Q9HD26
Q6NZI2,487,487_284119,PTRF,284119,"Polymerase I and transcript release factor (Cavin-1)
",http://www.uniprot.org/uniprot/Q6NZI2
Q01094,488,488_1869,E2F1,1869,"Transcription factor E2F1 (E2F-1) (PBR3) (Retinoblastoma-associated protein 1) (RBAP-1) (Retinoblastoma-binding protein 3) (RBBP-3) (pRB-binding protein E2F-1)
",http://www.uniprot.org/uniprot/Q01094
Q14188,488,488_7029,TFDP2,7029,"Transcription factor Dp-2 (E2F dimerization partner 2)
",http://www.uniprot.org/uniprot/Q14188
Q16254,488,488_1874,E2F4,1874,"Transcription factor E2F4 (E2F-4)
",http://www.uniprot.org/uniprot/Q16254
Q14209,488,488_1870,E2F2,1870,"Transcription factor E2F2 (E2F-2)
",http://www.uniprot.org/uniprot/Q14209
Q9UHY7,489,489_58478,ENOPH1,58478,"Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase) (MASA homolog)
",http://www.uniprot.org/uniprot/Q9UHY7
Q9P2R3,489,489_51479,ANKFY1,51479,"Rabankyrin-5 (Rank-5) (Ankyrin repeat and FYVE domain-containing protein 1) (Ankyrin repeats hooked to a zinc finger motif)
",http://www.uniprot.org/uniprot/Q9P2R3
A6NDN3,490,490_55889,GOLGA6B,55889,"Golgin subfamily A member 6B
",http://www.uniprot.org/uniprot/A6NDN3
P29590,490,490_5371,PML,5371,"Protein PML (Promyelocytic leukemia protein) (RING finger protein 71) (Tripartite motif-containing protein 19)
",http://www.uniprot.org/uniprot/P29590
Q9P258,491,491_55920,RCC2,55920,"Protein RCC2 (RCC1-like protein TD-60) (Telophase disk protein of 60 kDa)
",http://www.uniprot.org/uniprot/Q9P258
Q07666,491,491_10657,KHDRBS1,10657,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)
",http://www.uniprot.org/uniprot/Q07666
Q9Y265,491,491_8607,RUVBL1,8607,"RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (54 kDa erythrocyte cytosolic protein) (ECP-54) (INO80 complex subunit H) (Nuclear matrix protein 238) (NMP 238) (Pontin 52) (TIP49a) (TIP60-associated protein 54-alpha) (TAP54-alpha)
",http://www.uniprot.org/uniprot/Q9Y265
Q6P1J9,491,491_79577,CDC73,79577,"Parafibromin (Cell division cycle protein 73 homolog) (Hyperparathyroidism 2 protein)
",http://www.uniprot.org/uniprot/Q6P1J9
P12270,491,491_7175,TPR,7175,"Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein)
",http://www.uniprot.org/uniprot/P12270
Q9UHX1,491,491_22827,PUF60,22827,"Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor) (FUSE-binding protein-interacting repressor) (FBP-interacting repressor) (Ro-binding protein 1) (RoBP1) (Siah-binding protein 1) (Siah-BP1)
",http://www.uniprot.org/uniprot/Q9UHX1
Q16630,491,491_11052,CPSF6,11052,"Cleavage and polyadenylation specificity factor subunit 6 (Cleavage and polyadenylation specificity factor 68 kDa subunit) (CFIm68) (CPSF 68 kDa subunit) (Pre-mRNA cleavage factor Im 68 kDa subunit) (Protein HPBRII-4/7)
",http://www.uniprot.org/uniprot/Q16630
P09012,491,491_6626,SNRPA,6626,"U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)
",http://www.uniprot.org/uniprot/P09012
Q8IYB3,491,491_10250,SRRM1,10250,"Serine/arginine repetitive matrix protein 1 (SR-related nuclear matrix protein of 160 kDa) (SRm160) (Ser/Arg-related nuclear matrix protein)
",http://www.uniprot.org/uniprot/Q8IYB3
Q08945,491,491_6749,SSRP1,6749,"FACT complex subunit SSRP1 (Chromatin-specific transcription elongation factor 80 kDa subunit) (Facilitates chromatin transcription complex 80 kDa subunit) (FACT 80 kDa subunit) (FACTp80) (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (hSSRP1) (T160)
",http://www.uniprot.org/uniprot/Q08945
P62316,491,491_6633,SNRPD2,6633,"Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)
",http://www.uniprot.org/uniprot/P62316
P49756,491,491_58517,RBM25,58517,"RNA-binding protein 25 (Arg/Glu/Asp-rich protein of 120 kDa) (RED120) (Protein S164) (RNA-binding motif protein 25) (RNA-binding region-containing protein 7)
",http://www.uniprot.org/uniprot/P49756
Q13123,491,491_3550,IK,3550,"Protein Red (Cytokine IK) (IK factor) (Protein RER)
",http://www.uniprot.org/uniprot/Q13123
P55769,491,491_4809,SNU13,4809,"NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]
",http://www.uniprot.org/uniprot/P55769
O94906,491,491_24148,PRPF6,24148,"Pre-mRNA-processing factor 6 (Androgen receptor N-terminal domain-transactivating protein 1) (ANT-1) (PRP6 homolog) (U5 snRNP-associated 102 kDa protein) (U5-102 kDa protein)
",http://www.uniprot.org/uniprot/O94906
P52272,491,491_4670,HNRNPM,4670,"Heterogeneous nuclear ribonucleoprotein M (hnRNP M)
",http://www.uniprot.org/uniprot/P52272
P49792,491,491_5903,RANBP2,5903,"E3 SUMO-protein ligase RanBP2 (EC 6.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270)
",http://www.uniprot.org/uniprot/P49792
P62826,491,491_5901,RAN,5901,"GTP-binding nuclear protein Ran (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)
",http://www.uniprot.org/uniprot/P62826
Q2TAY7,491,491_55234,SMU1,55234,"WD40 repeat-containing protein SMU1 (Smu-1 suppressor of mec-8 and unc-52 protein homolog) [Cleaved into: WD40 repeat-containing protein SMU1, N-terminally processed]
",http://www.uniprot.org/uniprot/Q2TAY7
Q9NYV4,491,491_51755,CDK12,51755,"Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)
",http://www.uniprot.org/uniprot/Q9NYV4
Q9BXP5,491,491_51593,SRRT,51593,"Serrate RNA effector molecule homolog (Arsenite-resistance protein 2)
",http://www.uniprot.org/uniprot/Q9BXP5
P0DN76,491,491_102724594,U2AF1L5,102724594,"Splicing factor U2AF 35 kDa subunit-like protein (U2 small nuclear RNA auxiliary factor 1-like protein 5)
",http://www.uniprot.org/uniprot/P0DN76
O00571,491,491_1654,DDX3X,1654,"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)
",http://www.uniprot.org/uniprot/O00571
O75400,491,491_55660,PRPF40A,55660,"Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6)
",http://www.uniprot.org/uniprot/O75400
O95373,491,491_10527,IPO7,10527,"Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7)
",http://www.uniprot.org/uniprot/O95373
Q14974,491,491_3837,KPNB1,3837,"Importin subunit beta-1 (Importin-90) (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97)
",http://www.uniprot.org/uniprot/Q14974
O95983,491,491_53615,MBD3,53615,"Methyl-CpG-binding domain protein 3 (Methyl-CpG-binding protein MBD3)
",http://www.uniprot.org/uniprot/O95983
Q92841,491,491_10521,DDX17,10521,"Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17) (DEAD box protein p72) (RNA-dependent helicase p72)
",http://www.uniprot.org/uniprot/Q92841
Q53GS9,491,491_10713,USP39,10713,"U4/U6.U5 tri-snRNP-associated protein 2 (Inactive ubiquitin-specific peptidase 39) (SAD1 homolog) (U4/U6.U5 tri-snRNP-associated 65 kDa protein) (65K)
",http://www.uniprot.org/uniprot/Q53GS9
O14776,491,491_10915,TCERG1,10915,"Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150)
",http://www.uniprot.org/uniprot/O14776
O15042,491,491_23350,U2SURP,23350,"U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140)
",http://www.uniprot.org/uniprot/O15042
P09234,491,491_6631,SNRPC,6631,"U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)
",http://www.uniprot.org/uniprot/P09234
P52701,491,491_2956,MSH6,2956,"DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein) (GTBP) (GTMBP) (MutS-alpha 160 kDa subunit) (p160)
",http://www.uniprot.org/uniprot/P52701
O95400,491,491_10421,CD2BP2,10421,"CD2 antigen cytoplasmic tail-binding protein 2 (CD2 cytoplasmic domain-binding protein 2) (CD2 tail-binding protein 2) (U5 snRNP 52K protein) (U5-52K)
",http://www.uniprot.org/uniprot/O95400
P62304,491,491_6635,SNRPE,6635,"Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)
",http://www.uniprot.org/uniprot/P62304
P62306,491,491_6636,SNRPF,6636,"Small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF)
",http://www.uniprot.org/uniprot/P62306
Q09161,491,491_4686,NCBP1,4686,"Nuclear cap-binding protein subunit 1 (80 kDa nuclear cap-binding protein) (CBP80) (NCBP 80 kDa subunit)
",http://www.uniprot.org/uniprot/Q09161
O75475,491,491_11168,PSIP1,11168,"PC4 and SFRS1-interacting protein (CLL-associated antigen KW-7) (Dense fine speckles 70 kDa protein) (DFS 70) (Lens epithelium-derived growth factor) (Transcriptional coactivator p75/p52)
",http://www.uniprot.org/uniprot/O75475
Q05519,491,491_9295,SRSF11,9295,"Serine/arginine-rich splicing factor 11 (Arginine-rich 54 kDa nuclear protein) (p54) (Splicing factor, arginine/serine-rich 11)
",http://www.uniprot.org/uniprot/Q05519
Q13243,491,491_6430,SRSF5,6430,"Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)
",http://www.uniprot.org/uniprot/Q13243
,491,491_ENSG00000146963,,ENSG00000146963,,
Q9BUQ8,491,491_9416,DDX23,9416,"Probable ATP-dependent RNA helicase DDX23 (EC 3.6.4.13) (100 kDa U5 snRNP-specific protein) (DEAD box protein 23) (PRP28 homolog) (U5-100kD)
",http://www.uniprot.org/uniprot/Q9BUQ8
P20700,491,491_4001,LMNB1,4001,"Lamin-B1
",http://www.uniprot.org/uniprot/P20700
O43143,491,491_1665,DHX15,1665,"Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)
",http://www.uniprot.org/uniprot/O43143
P17844,491,491_1655,DDX5,1655,"Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5) (RNA helicase p68)
",http://www.uniprot.org/uniprot/P17844
Q14839,491,491_1108,CHD4,1108,"Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12) (ATP-dependent helicase CHD4) (Mi-2 autoantigen 218 kDa protein) (Mi2-beta)
",http://www.uniprot.org/uniprot/Q14839
Q08211,491,491_1660,DHX9,1660,"ATP-dependent RNA helicase A (RHA) (EC 3.6.4.13) (DEAH box protein 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II)
",http://www.uniprot.org/uniprot/Q08211
P22735,492,492_7051,TGM1,7051,"Protein-glutamine gamma-glutamyltransferase K (EC 2.3.2.13) (Epidermal TGase) (Transglutaminase K) (TG(K)) (TGK) (TGase K) (Transglutaminase-1) (TGase-1)
",http://www.uniprot.org/uniprot/P22735
Q5T749,492,492_448834,KPRP,448834,"Keratinocyte proline-rich protein (hKPRP)
",http://www.uniprot.org/uniprot/Q5T749
O75112,493,493_11155,LDB3,11155,"LIM domain-binding protein 3 (Protein cypher) (Z-band alternatively spliced PDZ-motif protein)
",http://www.uniprot.org/uniprot/O75112
P40200,493,493_10225,CD96,10225,"T-cell surface protein tactile (Cell surface antigen CD96) (T cell-activated increased late expression protein) (CD antigen CD96)
",http://www.uniprot.org/uniprot/P40200
P0DMV9,493,493_3303,HSPA1B,3303,"Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (HSP70-2) (HSP70.2)
",http://www.uniprot.org/uniprot/P0DMV9
O75569,494,494_8575,PRKRA,8575,"Interferon-inducible double-stranded RNA-dependent protein kinase activator A (PKR-associated protein X) (PKR-associating protein X) (Protein activator of the interferon-induced protein kinase) (Protein kinase, interferon-inducible double-stranded RNA-dependent activator)
",http://www.uniprot.org/uniprot/O75569
O00566,494,494_10199,MPHOSPH10,10199,"U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)
",http://www.uniprot.org/uniprot/O00566
Q9NY93,494,494_54606,DDX56,54606,"Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)
",http://www.uniprot.org/uniprot/Q9NY93
Q9BZE4,494,494_23560,GTPBP4,23560,"Nucleolar GTP-binding protein 1 (Chronic renal failure gene protein) (GTP-binding protein NGB)
",http://www.uniprot.org/uniprot/Q9BZE4
Q96G21,494,494_92856,IMP4,92856,"U3 small nucleolar ribonucleoprotein protein IMP4 (U3 snoRNP protein IMP4) (Brix domain-containing protein 4)
",http://www.uniprot.org/uniprot/Q96G21
P23511,495,495_4800,NFYA,4800,"Nuclear transcription factor Y subunit alpha (CAAT box DNA-binding protein subunit A) (Nuclear transcription factor Y subunit A) (NF-YA)
",http://www.uniprot.org/uniprot/P23511
P25208,495,495_4801,NFYB,4801,"Nuclear transcription factor Y subunit beta (CAAT box DNA-binding protein subunit B) (Nuclear transcription factor Y subunit B) (NF-YB)
",http://www.uniprot.org/uniprot/P25208
Q13952,495,495_4802,NFYC,4802,"Nuclear transcription factor Y subunit gamma (CAAT box DNA-binding protein subunit C) (Nuclear transcription factor Y subunit C) (NF-YC) (Transactivator HSM-1/2)
",http://www.uniprot.org/uniprot/Q13952
Q96I59,496,496_79731,NARS2,79731,"Probable asparagine--tRNA ligase, mitochondrial (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)
",http://www.uniprot.org/uniprot/Q96I59
A8MXV4,496,496_390916,NUDT19,390916,"Nucleoside diphosphate-linked moiety X motif 19 (Nudix motif 19) (EC 3.6.1.-)
",http://www.uniprot.org/uniprot/A8MXV4
O95363,497,497_10667,FARS2,10667,"Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)
",http://www.uniprot.org/uniprot/O95363
Q14692,497,497_9790,BMS1,9790,"Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)
",http://www.uniprot.org/uniprot/Q14692
P27348,498,498_10971,YWHAQ,10971,"14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)
",http://www.uniprot.org/uniprot/P27348
P31946,498,498_7529,YWHAB,7529,"14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]
",http://www.uniprot.org/uniprot/P31946
P62258,498,498_7531,YWHAE,7531,"14-3-3 protein epsilon (14-3-3E)
",http://www.uniprot.org/uniprot/P62258
P61981,498,498_7532,YWHAG,7532,"14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]
",http://www.uniprot.org/uniprot/P61981
Q99798,499,499_50,ACO2,50,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)
",http://www.uniprot.org/uniprot/Q99798
P40926,499,499_4191,MDH2,4191,"Malate dehydrogenase, mitochondrial (EC 1.1.1.37)
",http://www.uniprot.org/uniprot/P40926
Q8N960,500,500_153241,CEP120,153241,"Centrosomal protein of 120 kDa (Cep120) (Coiled-coil domain-containing protein 100)
",http://www.uniprot.org/uniprot/Q8N960
Q9NZ63,500,500_51759,C9orf78,51759,"Uncharacterized protein C9orf78 (Hepatocellular carcinoma-associated antigen 59)
",http://www.uniprot.org/uniprot/Q9NZ63
Q9NVL8,501,501_55195,C14orf105,55195,"Uncharacterized protein C14orf105
",http://www.uniprot.org/uniprot/Q9NVL8
